Restaurant,Cuisine
Sees Candies,"Specialty Store, Desserts"
AlKhabiah Coffee Shop,"Lebanese, Pizza, Sandwiches"
WOK BOYZ Restaurant,"Thai, Asian, Chinese"
Filli Cafe,"Burgers, Sandwiches, Beverages"
Sugar Factory,"American, Burgers, International"
Bab Al Mansour,"Arabic, Grills"
Chicking,"Burgers, Sandwiches"
Al Farooj Fresh,"Arabic, Shawarma & Doner, Sandwiches"
Sarabeth`s,"Breakfast, Cafe"
The Healthy Treats,"Healthy, Bakery and Cakes, Desserts"
Taste Of Lahore Restaurant,"Chinese, Indian, Pakistani"
Friends Hub Cafe,"Egyptian, Cafe"
Address,"American, Burgers"
Big Apple Bagels,"Breakfast, Sandwiches, American"
Al King Meat Shop,"Butchery, Grocery"
Aryaas Express,"Indian, Vegetarian, Breakfast"
Aromagic By Cafe Barbera,"Cafe, Italian, Sandwiches"
Popeyes,"American, Sandwiches"
Taco Eataco,Mexican
Shawarma Time,"Shawarma & Doner, American, Arabic"
Rawabi Al Sham,"Arabic, Breakfast, Lebanese"
Bouquets Flowers,Flowers
Shiro Sushi Wok,Japanese
Two Brothers,"Lebanese, Sandwiches, International"
Poke Central,"Healthy, Japanese, Seafood"
Be Healthy,"Healthy, Sandwiches"
Beverly Cuisine,"Cafe, American, Burgers"
Beetza,"Italian, Pizza"
Choco Loco Cafe,"Desserts, Cafe"
Protein Box,Healthy
Rajdhani Street,Indian
Craft Burger,"Burgers, Sandwiches"
August Snow,"American, Burgers, Italian"
Liwan Mansour,"Arabic, Breakfast"
Wings,American
Bice Mare Restaurant,"International, Italian"
Fareej Al Ain Traditional restaurant,"Arabic, Mandi, Emirati"
Ramses Cafe And Restaurant,"Egyptian, International, Seafood"
Ketchup & Mustard,"Burgers, American"
Potato Oven,"Beverages, Healthy"
Freedom Pizza,"Pizza, Sandwiches, American"
Zaatar And Falafel,"Breakfast, Lebanese, Egyptian"
Arabian Grill house,"Arabic, Burgers, Mandi"
Karak Alsbeenat,"Emirati, Beverages, Sandwiches"
Alissar Flowers,Flowers
Quick Cart Grocery,Grocery
Al Zad Cafeteria,"Burgers, Sandwiches"
Al Akaber,"Arabic, Lebanese"
Sumaq,International
Casa Del Bene,"International, Italian"
Hoso Maki Japanese Restaurant,"Japanese, Asian"
The Codfather,"Burgers, Seafood, International"
AQD AL JOORI,"Flowers, Specialty Store"
Al Fujaira,"Chinese, Indian, Pakistani"
Freedom Pizza,"Italian, Pizza"
Crazy Burger Cafe,"Burgers, Italian, American"
Mini House Restaurant And Cafeteria,"Burgers, Shawarma & Doner"
Nablus Eats,"Arabic, Shawarma & Doner, Sandwiches"
Mashakeek,"Arabic, Sandwiches"
Loranzo Café,"American, Italian, International"
HATCH By SMK,"Sandwiches, American"
Chubby Crepes,"Desserts, American"
Burj Al Khan,"Arabic, Burgers, Indian"
Russo's New York Pizzeria,"Italian, Pizza"
Wasabi Hato,"International, Asian, Japanese"
Maia  California Style Taqueria,Mexican
Zilzil Cafe,"International, Beverages, Burgers"
Maxie Sushi Sliders Restaurant,"Burgers, Chinese, Japanese"
PizzaExpress,"Italian, Pizza"
Zinger King Fried Chicken,"Sandwiches, Burgers"
Muallim Hasan Restaurant,"Arabic, Lebanese, Turkish"
New York Fries,"American, Fast Food, Sandwiches"
Avo And Co,"Breakfast, Desserts, Healthy"
Taiba pastry,"Pizza, Sandwiches, Arabic"
Cereal Society Cafe,"Desserts, Cafe"
Golden Gate Restaurant,"Asian, Chinese, Grills"
Chicken Man,"Burgers, Sandwiches"
Fabiano Cafe,"American, Burgers, Sandwiches"
Grills & Frills,Indian
Huff and puff burger,Burgers
Bait Al Karam mandi,Mandi
Hawader El Bait,"Arabic, Lebanese"
Mitts & Trays,"International, Breakfast"
Amo Deek Chicken,American
Jet Boatek Restaurant and Cafeteria,"American, Arabic, Shawarma & Doner"
Karak Express Cafeteria,"Burgers, Cafe, Sandwiches"
Amaryllis Flowers,Flowers
Cooloo Tamam,Healthy
Punjab Sarhad Restaurant,"Pakistani, Indian"
Al Gentel Cafeteria,"Burgers, Indian, Arabic"
Spice Island,International
Kabab Ko Restaurant,"Iranian, Sandwiches, Grills"
Shawarma House,"Shawarma & Doner, Lebanese, Arabic"
M R Mama Recipes,"Burgers, International, American"
Naan And Noon Bakery,"Breakfast, Sandwiches"
Filli Select,"Beverages, Burgers, Sandwiches"
Marbaiya Lounge Cafe And Restaurant,"Arabic, Lebanese, International"
Taqnida cafe,"Cafe, Desserts"
Aryad Cafe,"Cafe, Desserts"
Crepe Sweet Cafeteria,"Desserts, Beverages"
My Country Land Restaurant & Cafeteria,"Indian, Arabic, Burgers"
Homs & Lemon Cafateria,"Egyptian, Breakfast, Healthy"
Al Mawashi Butchery,Butchery
Fuel Up by Kcal,"Breakfast, Healthy, Sandwiches"
Chutney & Roll,"Pakistani, Indian"
Lomitos,"American, Burgers, International"
Medon Pharmacy,Pharmacy
Mama's Bites,"Arabic, Grills, Lebanese"
Shaheen Refreshments,"Burgers, Sandwiches, Beverages"
Rqaq House,"Arabic, Emirati"
Kaakunada,"Arabic, Breakfast, Lebanese"
Piaceri da Gustare,"Desserts, Italian, International"
Qamah And Karak,"Burgers, Sandwiches"
Al Furn Pastry,"Breakfast, Arabic, Bakery and Cakes"
Le Bon Roses Flowers,Flowers
Cochin Restaurant,"Chinese, Indian"
Koshari Factory,"Egyptian, Arabic, Desserts"
Seven Speciality Coffee,Cafe
Luluat AlShahba Popular Kitchen,"Emirati, International"
The Square Bistro Restaurant,"Healthy, Italian, Japanese"
Mansaf Zaman,"Arabic, Lebanese, Seafood"
Amy's Kitchen,"Indian, Fast Food"
Al Shawarma Al Arabia Cafeteria,Sandwiches
Castle Boutique,"Arabic, Grills, Lebanese"
Yamy Sweet,"Cafe, Desserts"
Shade Speciality Coffee,"Beverages, Cafe, Frozen Yogurt"
Mr Sandwich,"Burgers, Sandwiches, Shawarma & Doner"
Tossed,Healthy
Last Exit Burger,"Burgers, Sandwiches, American"
c.deli,"International, Sandwiches"
KAI THAI,"Asian, Thai"
Biryani and Paratha,"Indian, Pakistani, Arabic"
Lassi Cup Juices,Desserts
Qasr Al Falafil Cafeteria,"Sandwiches, Arabic, Beverages"
Kaaka W Manousha,"Sandwiches, Breakfast, Lebanese"
Le Boulanger,"Lebanese, International, Arabic"
LORIS RESTAURANT,"American, Burgers"
Burger 28,"American, Burgers"
Dar Al Majaz,"Burgers, Sandwiches, American"
Posh & Nosh Restaurant,"American, Burgers, Arabic"
Angry Burger,"Burgers, American"
Dragon Master,"Beverages, Burgers, International"
Mashakeek Cabana,"Healthy, Sandwiches, Burgers"
Sultan Saray Restaurant,"Breakfast, Turkish, Shawarma & Doner"
The Choco Station,"Cafe, Desserts, American"
Organiclicious Restaurant & Cafe,"Healthy, Italian, Sandwiches"
Planet Restaurant,"Arabic, Grills, Italian"
Diverso Cafeteria,"Beverages, Desserts, Sandwiches"
Cone House,"Pizza, Beverages, Cafe"
Zahrat Al Noor Pharmacy,Pharmacy
Konafa Bait Al Mokhtar,"Desserts, Arabic"
Jamie Oliver's Pizzeria,"Pizza, Italian"
Bikkgane Biryani Restaurant,Indian
Calicut Park Restaurant,"Indian, Grills"
Savoy Grill,"Arabic, Iranian, International"
B & B Restaurant,"Pakistani, Indian"
Hazara Darbar restaurant,"Pakistani, Arabic, Indian"
AlJamra Restaurant & Kitchen for Mandi & Madhbi,"Arabic, Mandi"
IL Mercato Italiano,"Italian, Pizza"
Asghar Ali Perfumes,Specialty Store
Al Dar Al Malaki Traditional Restaurant,Arabic
NESCAFÉ Dolce Gusto,"Specialty Store, Grocery"
La Casa Station Cafe,"Burgers, Italian, Beverages"
BeeAus Honey,Specialty Store
Mezze,International
Freej al majaz restaurant,"Chinese, Indian, Arabic"
Al Amir Restaurant,"Arabic, Pakistani, Mandi"
Pizzolo,"International, Italian, Pizza"
Gelato Divino,Desserts
Uturn Burger Cafeteria,"Burgers, Desserts, Italian"
Don Juan Burger,"Burgers, Mexican"
floresta flower,Flowers
Pepper Mint Restaurant,"Asian, Beverages, Fast Food"
Cutting Chai,"Indian, Breakfast, Chinese"
Khofo Restaurant & Cafe,"Arabic, Egyptian"
Uzum Restaurant,"Arabic, Desserts, Egyptian"
Smokey Biryani,"American, Indian, Pakistani"
Volcano,"International, Pizza, Sandwiches"
Flevoland,"Burgers, International, American"
Fatta Cafe,"Arabic, Cafe"
Muscle Fuel Healthy Eating,"Healthy, Sandwiches, Breakfast"
Gelato Milano For Ice Cream,"Desserts, Frozen Yogurt, Cafe"
Poke Kitchen,"Healthy, Japanese, Seafood"
Ozo Restaurant,Japanese
Bread & Olives Restaurant,"Lebanese, Arabic, Breakfast"
Bayt Jafra,"Arabic, Breakfast, Lebanese"
Obaid Al Khaseeba Restaurant,Indian
Let's Popcorn,"Specialty Store, Desserts, International"
Fikra W Hadiya,Flowers
GO CHKN,"Lebanese, Sandwiches, Burgers"
Enzain,"Arabic, Breakfast, Grills"
