Restaurant,Cuisine
Booster Juice,"Beverages, Fresh Juice, Healthy"
Tandoori Junction Restaurant,Indian
Impero Restaurant & Coffee shop,"International, Arabic, Sandwiches"
Defne Turkish Restaurant,"Grills, Turkish, Shawarma & Doner"
Express Sweet and Burger Cafeteria,Desserts
Pidzza,American
Manhattan Fish Market,"Seafood, International, American"
Sky Hookah 24,"American, Burgers, Pizza"
Al Romansiah Mandi & Madbi & Popular Dishes,"Mandi, Emirati, Arabic"
Mandarin Oak,"Chinese, Asian, Soups"
Teeneh Ow Zeytoneh,Arabic
Al Zad Restaurant,"Arabic, Indian"
2 For 1 Biryani,Indian
Bait Al Eiz Restaurant,"Egyptian, Arabic, Sandwiches"
Al Jaber Optical,"Optical, Specialty Store"
Firki,"Indian, Pakistani"
LA CRÈME BRULEE MAISON CAFE,"Breakfast, Desserts, International"
Lokmaker,"Chocolate , Emirati"
Coffies,Desserts
Misk Al Lail,"Arabic, International"
Ijaza Express Cafeteria,"Sandwiches, Beverages, Cafe"
Oriana Cafe,"Cafe, Desserts"
WICH WAY - Sandwich LAB,"Sandwiches, Soups, Smoothies"
Hannouf,"Arabic, Breakfast, Sandwiches"
Level Social by Millennium Place Barsha Heights,"Italian, International, Desserts"
Sandwich Square,"Indian, Sandwiches, Breakfast"
The Roost,Burgers
Alsuhail For Trade Vegetables And Fruits,"Grocery, Specialty Store"
Pizzeria Pulcinella,"Italian, Pizza"
Chutney rolls,"Pakistani, Arabic"
Four Buns Burgers,"American, Burgers"
Al Toot Al Aswaad,"Burgers, Desserts, Pizza"
Kings Grill,"Arabic, Grills"
Everest Point Restaurant,"Arabic, Chinese, Indian"
Puzzles Restaurant,"American, International, Arabic"
Keto Goodies,"Desserts, Healthy, Bakery and Cakes"
Vietnamese Snack,"Asian, Chinese, Vegetarian"
Rue 71 Partisserie & Tearoom,"Cafe, Desserts"
Dalah Almusk Sweet,"Specialty Store, Desserts"
Hala Beirut,"Lebanese, Arabic, Grills"
Taste Restaurant,"Arabic, Shawarma & Doner, Sandwiches"
We Food,"Burgers, Sandwiches, American"
Addicted Restaurant,"International, Seafood"
Napo Pizzeria,"Italian, Pizza"
Pasta 2 Go x Bouza Roll,"International, Italian"
Al Mallah Cafeteria,"Arabic, Breakfast, Lebanese"
Il Caffe Di Roma,"Italian, Pizza, Sandwiches"
MY TEA,"Beverages, Cafe"
Al Bait Al Arabi Restaurant,"Arabic, Mandi"
Al Bait Al Bukhary Restaurant,"Arabic, Mandi"
Canadian pizza,"Pizza, American, Burgers"
Noor Mohammadi Restaurant,"Indian, Pakistani"
The Chicken Shop,International
Al Tawasol Restaurant,"Arabic, Seafood, Mandi"
Ateej Al Souf Cafe,"American, Burgers, Arabic"
Harmony Water,"Grocery, Beverages"
Big Value Supermarket,Grocery
Mumtaz Chicken,"Burgers, Pizza"
Havana Cafe & Restaurant,"Lebanese, Sandwiches, International"
TurQuisine,"Turkish, Grills"
DE BURGER TOWN CAFE,"Arabic, Burgers, International"
Robusta Coffee,"Cafe, Desserts"
Sharing Restaurant,"Sandwiches, Beverages, Cafe"
Dukan Burger,"Burgers, Sandwiches"
Khameer & Chebab,"Arabic, Emirati"
Biorganic Market,"Grocery, Healthy"
Deccan Biryani Restaurant,"Indian, Pakistani, Asian"
Al Shorfa Restaurant & Cafe,"Arabic, Grills, International"
Ketchup Cafeteria,"American, Sandwiches, International"
Moshi - Momo & Sushi,"Japanese, Asian"
Foomanchoo,"Asian, Chinese, Healthy"
Gram Cafe,"Cafe, Sandwiches, International"
Sea Moon Seafood Restaurant,"Arabic, Seafood, Egyptian"
AlBaha Saudian Food Restaurant,"Arabic, Mandi"
Puranmal - Parathas & Samosas,Indian
Queue Cafe,"Desserts, Sandwiches"
Cocktail Al Sham Cafeteria,"International, Beverages"
Shak Shukah,"Asian, Chinese, International"
Rue De Fifty Four Snacks,"Cafe, Desserts, Breakfast"
Bait Al Mandi,"Mandi, Emirati, Arabic"
Salad Station,"Healthy, Vegetarian"
25 Degrees North Restaurant,"Indian, Pakistani, Vegetarian"
Feras Sweets,"Arabic, Desserts"
Tikka Shikka,"Grills, Indian"
Mota Fish,"Seafood, Indian"
DineBest,American
Sakraat Al Raosha,"Arabic, Shawarma & Doner, International"
Sushiritto,"International, Japanese"
Royal Gulf Cafeteria,"Arabic, Burgers, Grills"
Al Baher Al Ahmar Restaurant,"Arabic, Mandi"
Thai Gate Restaurant,"Thai, Asian"
Al Reef Al Yamani,"Mandi, Arabic"
Ande Ka Funda,"Indian, Pakistani, Breakfast"
800VEGAN,"Vegetarian, Desserts, Healthy"
Asian Neighborhood,"Asian, Chinese, Indian"
Panini Di Casa,"Arabic, Italian"
Let's Beef,"Burgers, Mexican, American"
Yugo Sushi,"Japanese, Seafood, Asian"
Burger and Fries,"Burgers, Sandwiches, American"
Fez Restaurant,"American, Arabic, Asian"
Izumi Restaurant,"International, Japanese"
Mamma Italia,"Italian, Pizza"
Dose Burger,"Burgers, American"
Yo Sushi,"Japanese, Seafood, Asian"
Curry Box,Indian
Xshot Cafe,"Cafe, Desserts"
Chowking,"Asian, Chinese"
The Shake Colony Cafe,Beverages
Atyab Falafel,"Lebanese, Arabic, Breakfast"
Andes Restaurant,"American, Burgers"
Mmmbox,"Asian, Indian, Japanese"
Dar Al Karak & Al Muhala,"Arabic, Breakfast, Emirati"
YMI Taste,"Desserts, Beverages, Chocolate "
Laloca cafe and lounge,"Breakfast, Cafe, International"
Turkish Steak Restaurant & Cafe,Turkish
Plan Burger Cafe,"American, Burgers, Sandwiches"
Rocket Burger,"Burgers, Sandwiches, American"
Lingua Coffee,"Beverages, Cafe, Desserts"
Joga,"Cafe, Healthy"
X Large Snacks Cafeteria,"Arabic, Grills, Sandwiches"
Jabal Sialkot Restaurant,"Indian, Pakistani"
Food N Fun Restaurant,"Chinese, Indian"
Kansai Japanese Sweets,"Japanese, Cafe, Desserts"
Bab Alsalam Cefeteria and Pastries,"Arabic, Grills, Lebanese"
ROSE BAKERY & SWEETS,"Desserts, Bakery and Cakes, Snacks "
"Bombay Brasserie, Business bay","Desserts, Indian, Vegetarian"
Chicken Hut Restaurant,"Sandwiches, Beverages, Snacks "
Mister Fatera,"Lebanese, Arabic, Breakfast"
Manqoushe & Tabbouleh Cafeteria,"Arabic, Pizza, Sandwiches"
Perugia Cafe,"Burgers, Italian, Sandwiches"
Flow,"Sandwiches, Breakfast, Cafe"
Hyderabad Star Restaurant,Indian
Piero Pizza & Pasta,"Italian, Pizza"
Al Teaba Restaurant,"Desserts, Indian, Italian"
Tayba Meat Shop,Butchery
Cupz Specialty Coffee,Cafe
Kunafa Basha And Sweets,"Desserts, Frozen Yogurt"
Abatjour Bistro Restaurant & Cafe,"Arabic, Lebanese"
Syrian Grills Restaurant,"Arabic, Grills, Lebanese"
Little Cairo Restaurant,"Egyptian, Breakfast, Grills"
Raising Canes,"American, Sandwiches, Beverages"
Sweets Home,"Desserts, Beverages, Bakery and Cakes"
Daddy's Burger,Burgers
Twometoes,Pizza
Delhi Nihari Restaurant,"Indian, Pakistani, Breakfast"
Sukkar,"Desserts, Bakery and Cakes, Cafe"
Ziryab Mandi Restaurant and Kitchen,"Arabic, Mandi"
Fatayer & Mahashi Al Waha Cafeteria,"Egyptian, Breakfast, Pizza"
Al Asr Al Dahabi Cafe and Restaurant,"Arabic, Breakfast"
Al Zawraa Restaurant & Kitchen,Arabic
EZone,"Arabic, Burgers, International"
Al Fareej Kitchen & Restaurant,"Indian, Pakistani, Mandi"
Arabian Tea House,Arabic
Wooden Bakery,"Arabic, American"
In 61 Burgers,"Burgers, International"
Attibassi,"Cafe, Sandwiches"
Al Fanoos Restaurant,"Iranian, Arabic, Grills"
HBKA Cafe,"Cafe, Desserts"
The Spread Cafe,Cafe
Shawarma Station,"Shawarma & Doner, Lebanese, Sandwiches"
Afrah Flowers and Chocolate,Flowers
Mantoushe,"Healthy, Lebanese, Sandwiches"
Iwan Gifts and Perfumes,Specialty Store
Assr Aljawal,Electronics
Burger Shack,"American, Burgers, Pizza"
Emirates Residence,"Arabic, Emirati"
Qasr Al Dayaa Restaurant & Grill,"Arabic, Grills, Lebanese"
Al Maha Cafe,"Arabic, Vegetarian"
Underwater Environments Aquariums,Pet Shop
Saj AL Freej Restaurant,"Arabic, Pizza"
Turkish Village Restaurant,Turkish
Chocolate Republic,"Desserts, Cafe"
Snack Wrap,"Sandwiches, Burgers"
Jungle Juice,"Beverages, Healthy"
Alia's Sweets,Desserts
Al Saffron Restaurant,"Indian, Pakistani, International"
Juice World,Beverages
Gandofly,"Arabic, Seafood, Egyptian"
Cho Gao,"Asian, Seafood"
Mlkcake,Desserts
Katis Restaurant,"Indian, Sandwiches, Chinese"
Taco Decasa Restaurant,"Mexican, Sandwiches, Vegetarian"
Abu Shaqra Palace Restaurant & Café,"Arabic, Egyptian, International"
Al Barjeel Restaurant,"Asian, Beverages, Vegetarian"
Mahashi Al Majaz,"Arabic, Lebanese, Egyptian"
Fataier Al Dar,"Breakfast, Pizza, Arabic"
Big Break Billiards,"Italian, Sandwiches, Burgers"
Seville`s Restaurant & Bar,"Healthy, Italian"
Baranda Lebanese,"Arabic, Lebanese"
Kana Kitchen,"International, Arabic, Italian"
Lgymat & Rgag,"Arabic, Breakfast, Emirati"
Frosty Icecream,"Desserts, Beverages"
Burger Storage,"Burgers, Sandwiches"
Discus Fish Trading,"Specialty Store, Grocery"
Zaalouk Restaurant,"Arabic, Lebanese"
Al Amoor Cafeteria And Pastry,"Egyptian, Arabic, Sandwiches"
Sikeek Restaurant,"Arabic, Seafood, Emirati"
Roast Speciality Coffee,Cafe
Tal Alsanawbar Restaurant,"Lebanese, Arabic, Breakfast"
Bait Al Hikma Pharmacy,Pharmacy
Rama Restaurant,"Breakfast, Lebanese, Arabic"
Le Cheval Cafe,"Cafe, Desserts, Snacks "
Qalaat Almanaqesh,"Breakfast, Lebanese, Arabic"
Bakemart Gourmet,Desserts
Chennai Kings Restaurant,Indian
Buffalo Wild Wings,"Burgers, Desserts, American"
Dukkan Shawerma Falafel,"Arabic, Lebanese"
Alforno Pastry,"Arabic, Lebanese"
Al Ameri Beauty,Cosmetics
Fatayer Station,"Arabic, Lebanese, Sandwiches"
Salad Boutique,"Healthy, Sandwiches, Breakfast"
El Mariachi,"Mexican, Sandwiches, Burgers"
Malik Restaurant,"Chinese, Indian, Seafood"
Ghanawi,"Specialty Store, Snacks "
Bab Al Madina,"Indian, Pakistani"
Cat Cookies,"Specialty Store, American, Desserts"
Mshmsh and Toot Fresh Juices,"Beverages, Desserts"
Juices Time,"Beverages, Cafe, Desserts"
Barbeque Nation,"International, Indian, Vegetarian"
De Fish Sea Food Restaurant,"Seafood, Indian"
Zaytinya,"Lebanese, International, Arabic"
Hala al sham restaurant,"Arabic, Beverages, International"
Al Sham Rose Restaurant,Arabic
Sapori Veri,"Italian, Pizza, Sandwiches"
AMIGOVIO Mexican Burritos,"Mexican, Salads, Bowls"
Roberto's Pizzeria,"Pizza, Pasta, Italian"
The Yummy Cookie,"Bakery and Cakes, Desserts, Chocolate "
Precious Paws Pet Spa,Pet Shop
Al Rashaqah Cafe,"Healthy, Sandwiches, Grills"
Shabby Chic Restaurant,"Healthy, Sandwiches, Breakfast"
Al Jazeera Al Shabi Restaurant,"Arabic, Mandi, Emirati"
Cafe Funkie Town,"Chinese, Grills, Indian"
Grilled Burger Cafeteria,"Burgers, Italian, Japanese"
Hit Burger Cafeteria,"Healthy, Indian, Arabic"
West Hill Supermarket,Grocery
High Light Cafeteria,"Burgers, Sandwiches"
Qaser Al Khaizuran Pastry,"Lebanese, Arabic, Breakfast"
Village Hub Restaurant,"Indian, Pakistani"
Ketogenic,Healthy
Les Gallussettes,"Desserts, International"
Meylas Emirati Restaurant,"Arabic, Emirati"
Asian Inasal Restaurant,"Asian, International"
Deerti Restaurant & Kitchen,"Emirati, Arabic, Mandi"
Hard Rock Cafe,American
Avenues Cafe,"International, Cafe"
Cold & Sweet Cafe,"Desserts, Beverages"
The Gang Cafe,"American, Breakfast, Burgers"
Al Rukn Al Arabi,"Arabic, Mandi"
Super Poke,"Japanese, Asian, Healthy"
Crispy Chicken,"American, Burgers, Sandwiches"
Bayt Omy Restaurant,"Arabic, Breakfast"
Theatre,"Snacks , Sandwiches, Beverages"
Van Shawerma,"Shawarma & Doner, Sandwiches, Arabic"
Ambur Biryani,"Indian, Mandi"
Petzone,Pet Shop
931,"Burgers, Sandwiches, International"
Green Summit - 26350,"Salads, Smoothies, Bowls"
Pedal Cycling Cafe,"Cafe, American, Burgers"
Gold,"Burgers, Healthy"
AlMiqla Cafeteria,"Burgers, Fast Food, Sandwiches"
Farsi,Iranian
Namaste Cuisine,"Chinese, Indian, Asian"
Wadi Al Arayesh,"Arabic, Lebanese"
Zattara,"Lebanese, Arabic, Breakfast"
Baldwin Restaurant & Cafe,Italian
Krispy Buns,"Sandwiches, Beverages, Breakfast"
Shutdown Restaurant,Seafood
Shahad Al Emarat Sweets,"Breakfast, Desserts"
B Grills,"Arabic, Grills"
Leonardo Da Vinci Restaurant,International
3 Beans Cafe,"Indian, American, Cafe"
Malek Al Mujant,"Breakfast, Pizza, Egyptian"
Khalta Aziza,"Arabic, Breakfast, Egyptian"
Baladi Butchery,Butchery
Pappa Compir,"Vegetarian, Turkish"
Mood Coffee Bar,"Beverages, Cafe"
Halawanji Nablus,"Arabic, Desserts"
Dishierto Restaurant,"Breakfast, Cafe, Desserts"
Mannaland,"Asian, Healthy, Seafood"
J Mart Hypermarket,Grocery
Madina Mart Supermarket,Grocery
Tomato & Basilico Restaurant,"Italian, Pizza"
BAKE AL ARAB,"Desserts, Sandwiches"
Cluckers Wood Roasted Chicken Restaurant,"International, Sandwiches"
Al Reef Al Shami Restaurant And Sweets,Arabic
Coffee Art Cafe,"Turkish, Cafe, Desserts"
Teema cafeteria,"Egyptian, Arabic, Sandwiches"
Meknes Restaurant,Arabic
71OZ Steakhouse,"American, Burgers, International"
Meli's Kitchen,"Salads, Italian, Sandwiches"
Mawaweel Shawarma,"Arabic, Shawarma & Doner"
Al Shofan Pastries,"Lebanese, Bakery and Cakes, Breakfast"
Fruit Punch,"Beverages, Cafe, Desserts"
Al Karam Al Iraqi,"Arabic, Seafood, International"
Ochado Cafe,Beverages
Ham Ham Restaurant,"Arabic, Breakfast, Egyptian"
University Cafeteria,"Asian, Indian"
HYU Korean Restaurant,Asian
Moe's On The 5th,"Healthy, International"
The Hamptons Café,"Healthy, International, Cafe"
Salty Sugar Cafe,"Sandwiches, International, Cafe"
Stock Burger,"American, Burgers, Desserts"
Najmat Al Faal,"Burgers, Sandwiches, Shawarma & Doner"
Go Green By Fit Food Kitchen,"Healthy, Breakfast, Desserts"
Sniper Internet Cafe & Cafeteria,"Burgers, American"
Sandwich House,"American, Burgers, Sandwiches"
Wings Plus Restaurant,Egyptian
Wokyo Noodle Bar,"Japanese, Asian, Chinese"
LUZAN MANILA BAKERY & RESTAURANT,"Breakfast, Asian, Bakery and Cakes"
Drowsy Coffee,Cafe
Bubble Station,"Beverages, Cafe"
Athwaq Arabia Restaurant,"Arabic, Burgers, Desserts"
Al Bosphor Shawerma and Restaurant,"Arabic, Breakfast, Turkish"
Marhaba Mandi,"Arabic, Mandi"
Napoli,"Italian, American"
Baithak,"Indian, Pakistani, Vegetarian"
Pizza OK,"Pizza, Italian"
Magic Juice,"International, Breakfast, Desserts"
DOT Cafe,"Beverages, Healthy, Arabic"
Mosaic Gourmet,"Arabic, Desserts, Lebanese"
HAMBA,"Emirati, Healthy, Vegetarian"
Fries Basket,"American, Burgers, Sandwiches"
Zoi Cafe,"Beverages, Cafe, Desserts"
Crazy Burger,"American, Burgers, Sandwiches"
Salad Bar,Healthy
Al Hibat Roastery,"Specialty Store, Roastery"
AVOCADO JUICE,"Fresh Juice, Frozen Yogurt"
Fresh Bite Paprika Restaurant,"Asian, Indian"
Lahmajoon,"Lebanese, Turkish, Arabic"
Dip And Flip,"Burgers, International"
The Popcorn Street,Desserts
Al Zawq Al Aseel Restaurant,"Arabic, Beverages, International"
Be Bikers Cafe,"Burgers, Cafe, Beverages"
Wadi Raidan Mandi Restaurant,"Mandi, Arabic"
Smart Cafeteria,"Burgers, Cafe, Sandwiches"
ZEROFAT,"Healthy, Sandwiches, Breakfast"
Wadi Al Karaz,"Beverages, Lebanese, Arabic"
Pizza Sabbioni,"Italian, Pizza"
Al Beak Cafeteria,"Burgers, Desserts, Sandwiches"
Delhi Nihari- Sharjah,"Indian, Pakistani"
After You Sweets,Desserts
Lebanese Dream Bakery,"Bakery and Cakes, Breakfast, Desserts"
Zaiqa Restaurant,"Indian, Pakistani, Grills"
The Bakes Bakery,"Arabic, Lebanese, Pizza"
Kanchanjunga Restaurant,"Indian, Asian"
Eat Greek Restaurant,International
The Twelve Sauce for Snacks,"American, Burgers, Cafe"
sharing is caring,Arabic
Al Halabi Restaurant,"Arabic, Grills, Sandwiches"
Yasmeen Restaurant,"Arabic, Asian, Grills"
Sahin Hut Cafeteria,"Arabic, Burgers, Indian"
Doner Deli,"Shawarma & Doner, Healthy, Turkish"
Lebanan Volcano  Barbeque,"Lebanese, Arabic, Asian"
Shrimp Bite,"International, Japanese, Vegetarian"
Holy Crepe,"Desserts, Cafe"
Cuiscene,"International, Pakistani"
Al Amoor Express,"Egyptian, Arabic, Sandwiches"
Kapadokya Restaurant,"Turkish, International, Sandwiches"
FruitVille,"Beverages, Desserts, Healthy"
Nom Nom Asia Restaurant,"Asian, Chinese, Thai"
Tea & Toast Cafe,"Indian, Chinese"
Golden Fork Fresh Food Restaurant,"Indian, Seafood"
Basha Masr Restaurant,"Egyptian, Arabic"
Fish Basket Restaurant,Seafood
Maraheb Express,"Mandi, Arabic"
Al Razy Pharmacy L.L.C,Pharmacy
Lido Moroccan Restaurant,"Arabic, Emirati"
Bok Bok Grilled Chicken,"Healthy, Lebanese, Sandwiches"
Kobe Sizzlers,"Chinese, Indian, Seafood"
FAT BOY BURGERS,"American, Burgers, Wings"
I DO CAFE,"Cafe, Desserts"
Just Vitamins Fresh Juice,Beverages
Food Bowl,"Chinese, Seafood"
Majestic Fruits,"Desserts, Healthy"
Alma 560 Cafe,"Cafe, Breakfast"
Juma Restaurant and Kitchen,"Arabic, Grills, Indian"
Blue Door Cafe,"American, Cafe, Desserts"
Parker's,"American, Burgers, International"
Red Tomato Pizza,"Italian, Pizza"
Al Mayass,Lebanese
Adhwa Al Sham Roastry,"Specialty Store, Snacks , Roastery"
Chicken Grills,"Arabic, Grills, Lebanese"
L' Auberge Restaurant and Lounge,"Turkish, Arabic, Lebanese"
Noodle Square,"Asian, Chinese, Vegetarian"
Crunchy Bites,"American, Italian, Beverages"
Babu Town,Indian
Black Tap Craft Burgers & Shakes,"American, Burgers"
The Little Things Cafe,"Cafe, International, Burgers"
Big Dogs,"American, Desserts"
Layali Fas,Arabic
Ard Najd Mandi Restaurant,"Mandi, Emirati, Arabic"
BVM Pinoy Cafe,"Asian, Chinese, Italian"
Lazy Egg,"American, Breakfast"
Al Baik Restaurant & Cafeteria,"Grills, Indian, Chinese"
Karak Alshaib Cafeteria,"Arabic, Beverages, Sandwiches"
Miral,"Cafe, Desserts"
Remal Elawafe Caffee And Restaurant,"Arabic, Shawarma & Doner, International"
Al Hakawati,"Arabic, Lebanese, Sandwiches"
Al Balah Al Thahabi Sweets,"Desserts, International"
Arlequin Al Ain Restaurant And Cafe Sweet Grills,"Desserts, Grills"
Magic Shrimp Cafeteria,"Seafood, Breakfast, Burgers"
Best Food Company,Grocery
Burger Fusion Restaurant,"American, Burgers, Seafood"
Shot Specialty Cafe,"Desserts, Cafe"
Healthy Way Restaurant,"Healthy, Sandwiches"
Stuffed Burger,"Burgers, Sandwiches"
Levant Corner,"Lebanese, Arabic, Shawarma & Doner"
Al Sedra Restaurant,"Beverages, Sandwiches"
Ahal Awwal Cafe,"Breakfast, Desserts, Emirati"
Copper Kettle,"Indian, Pakistani"
Miya's Cookies,"Specialty Store, Desserts"
Al Farooj Al Halabi Cafeteria,"Arabic, Sandwiches, International"
Burger Boulevard,"American, Burgers"
Khaneen Restaurant,Arabic
Alramsa Books,Specialty Store
FADE Fit,"Grocery, Specialty Store"
Buono Cafe,"Breakfast, Cafe"
Al Abyat Restaurant,"Arabic, Grills, Pakistani"
Dragon Fi,"Asian, Chinese"
Al Fouj Cafeteria,"Sandwiches, Beverages"
Hoop Dessert & Shakes,Desserts
Asfour Restaurant,"Arabic, Sandwiches, Egyptian"
Egg Shack Cafe,"Cafe, International, Breakfast"
Sultan Saray Restaurant,Turkish
Marjan Al Bahr Sea Food Restaurant,"Seafood, Egyptian, Arabic"
Snacks Palace Cafeteria,Beverages
Baithak Restaurant,"Chinese, Indian, Pakistani"
the sailors restaurant,"American, Desserts, Italian"
OYE!,"Chinese, Indian, International"
Go! Chinese,Chinese
Crust Seafood,"Seafood, Arabic, Desserts"
Owl Cafe,"Cafe, International, Breakfast"
New Antar Cafeteria,"Burgers, Sandwiches, Shawarma & Doner"
Hoof Cafe,"Cafe, Desserts"
Royal Kebab,"Indian, Chinese"
Celebrating Life Bakery,Desserts
Asmak Al Nile Al Thahabeyah,"Seafood, Arabic, Sandwiches"
O'Pao Indian Slider,"Indian, Sandwiches, Burgers"
Favourite Choice,"Healthy, International"
Layali Isfahan Restaurant,"Arabic, Iranian, International"
X Pizza,"Italian, Pizza"
Punjab Highway Restaurant,Indian
Rashaqa Life Gym,"Healthy, Arabic, Breakfast"
Charminar Hyderabadi Biryani,"Indian, Beverages, Desserts"
Zafaraniyeh Restaurant,"Grills, Sandwiches, Arabic"
Salsabeel Ice Cream & Juices,Desserts
Super Tea Junction Cafeteria,"Arabic, Burgers, Indian"
HengChen,"Chinese, Asian"
Al Hara Al Shamia Restaurant & Grills,"Arabic, Lebanese, Sandwiches"
Vibesta,"American, Italian, International"
The Kitchen Station Restaurant,Italian
Zooba Restaurant,"Egyptian, Breakfast, Sandwiches"
Acai Gold,"Desserts, Healthy"
Al Shafa Restaurant,"International, Beverages, Iranian"
Myselfie Restaurant,"Arabic, Grills, International"
Chubby Balls,"Desserts, American"
Utopia BAKERY,"Desserts, Bakery and Cakes, Cafe"
Double Shot Cafe,"Cafe, Desserts"
Swades Vegetarian Restaurant,"Indian, Vegetarian"
Cocoa Tree Cafe,"Beverages, Burgers, International"
Sweet & Refreshments Murree,"Indian, Pakistani"
Ardh Al Joulan Cafeteria,"Burgers, Sandwiches, Beverages"
Tiger Cookies,"Desserts, Cafe"
The Healthy Grocer by Right Bite,Grocery
Malak Al Tawouk,"Burgers, Lebanese, Sandwiches"
Green Valley Cafeteria and Restaurant,"Arabic, Asian, Indian"
Al Dewan Restaurant,"Arabic, Lebanese, International"
Comma Restaurant,"Burgers, Italian"
Humberghini Cafeteria,"Burgers, Beverages"
Cofenio Cafe,"Italian, Sandwiches, Burgers"
Al Shabab House of Tea,"Beverages, Burgers, Sandwiches"
Crepe N Crave,"Beverages, Chocolate , Desserts"
Circle,"Healthy, Sandwiches, Breakfast"
Tropicool,"Healthy, Vegetarian, Desserts"
Noodles Noodles,Japanese
Herbz Restaurant,"Grills, Arabic"
Graffiti Burger,"Burgers, Sandwiches, American"
Byblos Sur Mer,"Lebanese, Arabic, Healthy"
Hot Karak Cafeteria,"Arabic, Sandwiches, Emirati"
AUTHENTIC - Sandwiches,"Sandwiches, Soups, Healthy"
Best Cake Bakery,"Desserts, Chocolate , Bakery and Cakes"
Al Rahba Kitchen,"Arabic, Mandi"
The Big Wok,"Chinese, Indian, Thai"
Crepes And Burgers,"Burgers, American"
Donuts Time,"Desserts, Cafe"
La Villa Cafe,"Arabic, Beverages, International"
Jag Restaurant,International
Buffalo,"Burgers, Sandwiches, International"
ybala wrq enab cefteria.l.l.c,"Arabic, Sandwiches, International"
Wings Factory,American
Krave,"Breakfast, Healthy, International"
Mamma Mia Italian Food,"Italian, Sandwiches, Burgers"
Geek Kitchen,"International, American, Breakfast"
The Burgurry,"Burgers, American"
Cairo Gourmet,"Egyptian, International, Arabic"
Juicy Burger,"Burgers, Sandwiches, American"
Al Hallab,"Lebanese, Arabic"
MAYA BLUE - Mexican Cuisine,"Healthy, Mexican, Bowls"
Puro,"Italian, International, Asian"
Drizzle,"Burgers, Beverages"
Al Bukhar Al Afghani Restaurant,"Iranian, Grills"
Burger28,"American, Burgers"
Chills & Fries,"American, Chinese, Fast Food"
Curry Leaf,"Chinese, Indian"
New AlKhaleej Cafeteria,"Burgers, International, Beverages"
Little Italy,"Italian, Pizza, Pasta"
Cakes & More,"Breakfast, International, Arabic"
Ashkanani Automatic Bakery,"Grocery, Breakfast, Arabic"
Sea Master Seafood,"Seafood, Arabic"
Cake Hut,"Desserts, International"
Juice Palace,"Desserts, Healthy, Beverages"
G's Cafe,"Sandwiches, Breakfast, Desserts"
Grill World Restaurant,"Burgers, Sandwiches, International"
Mirdif Fish & Chips,"Seafood, International, Breakfast"
Yummy Belgian Cafe,"Desserts, Chocolate "
Koyla Lounge & Cafe,"Pakistani, Chinese, Indian"
BeBabel,"Desserts, Lebanese, Arabic"
Meat Z Chicken,"Arabic, Lebanese, Sandwiches"
Dolci Delight Patisserie,"Desserts, Chocolate , Cafe"
Taste Buds Restaurant,"Arabic, Chinese, Indian"
New Daily Restaurant,"Asian, Indian, Pakistani"
Al Nakha Al Tayba Cafeteria,"Cafe, International, Burgers"
Wadi Doan Mandi And Madhbi Restaurant,"Mandi, Arabic"
Royal Mahraj Mahal,Indian
Botambah Burger,"Burgers, Japanese, American"
Yogoday,"Frozen Yogurt, Desserts"
Almaeda Restaurant,"Arabic, Lebanese"
Tasty Dhaba,"Indian, Vegetarian, Chinese"
Taiba Pastry,"Pizza, Sandwiches, Arabic"
Miyabi Sushi & Bento,"Healthy, Japanese, Asian"
Food Land Cafeteria,"Indian, Sandwiches, Burgers"
The Gate Restaurant,"Indian, Japanese"
Freddy's Frozen Custard & Steakburgers,"Burgers, Desserts, American"
Decaf Dessert & Coffee Lab,"Cafe, Desserts, International"
Mandi Plov,"International, Pakistani, Mandi"
Olive And Oven,"Arabic, International"
Leila,"Lebanese, Breakfast"
Dine Inn Restaurant,"International, Indian"
Anwar Makkah Pharmacy,Pharmacy
Koshari El Prince Elasli,"Arabic, Desserts, Egyptian"
Yummy in my tummy,"Desserts, Chocolate , Cafe"
Alrassam Restaurant Special Kabab,"Iranian, Arabic, Grills"
Hashtag Cafe,"American, Burgers, Italian"
New Golden Finger,"Indian, Arabic, Chinese"
Bait Al Dhyafa Restaurant & Mandi,"Arabic, Mandi, Emirati"
Sama Al Bawadi,"Arabic, Mandi"
Ghazal Al Sham,Arabic
Al Salateen Restaurant,"Shawarma & Doner, Turkish"
Al Malaky Royal,"Specialty Store, Healthy, Grocery"
Demons & Angels,"Pizza, Sandwiches"
CRUST Pizza & More,"Pizza, Healthy, Italian"
Bon Burger Cafeteria,"American, Burgers"
Slice & Mix Restaurant,"Sandwiches, Cafe"
Shukah Restaurant And Cafeteria,"Sandwiches, Arabic, American"
BarBar Beirut Restaurant,"Arabic, Lebanese"
White Burger,"Burgers, Sandwiches, American"
PappaRoti,"Desserts, Breakfast"
Madinat Al Aroos,"Indian, Sandwiches, Grills"
The Road Gourmet Restaurant,"Italian, Pizza, Sandwiches"
Catch 22,"Seafood, International, Healthy"
Noor Al Qahira w Al Sham,"Arabic, Sandwiches, Egyptian"
Triple T Burger,"Burgers, Beverages, American"
Al Mukkala Public Mandi & Madhbi Restaurant,"Arabic, Mandi"
Be Healthy,"Healthy, Italian, American"
Dar Al Dhabi Omani Sweets,"Specialty Store, Desserts"
Narenj & Toranj,Iranian
Teazone Cafe,"Burgers, Cafe, Sandwiches"
